risk,risk_name,week,indicator,weight,value,composite_warning,warning_state
R1,Commercial market-entry / win-rate,1,win_rate_gap,0.4,0.6802,0.708,1
R1,Commercial market-entry / win-rate,2,win_rate_gap,0.4,0.5022,0.6162,1
R1,Commercial market-entry / win-rate,3,win_rate_gap,0.4,0.6055,0.6716,1
R1,Commercial market-entry / win-rate,4,win_rate_gap,0.4,0.8103,0.5999,1
R1,Commercial market-entry / win-rate,5,win_rate_gap,0.4,0.4006,0.5649,1
R1,Commercial market-entry / win-rate,6,win_rate_gap,0.4,0.2823,0.5436,0
R1,Commercial market-entry / win-rate,7,win_rate_gap,0.4,0.7967,0.697,1
R1,Commercial market-entry / win-rate,8,win_rate_gap,0.4,0.8776,0.5311,0
R1,Commercial market-entry / win-rate,9,win_rate_gap,0.4,0.5677,0.6743,1
R1,Commercial market-entry / win-rate,10,win_rate_gap,0.4,0.3572,0.5651,1
R1,Commercial market-entry / win-rate,11,win_rate_gap,0.4,0.6231,0.7038,1
R1,Commercial market-entry / win-rate,12,win_rate_gap,0.4,0.6207,0.6995,1
R1,Commercial market-entry / win-rate,13,win_rate_gap,0.4,0.5955,0.6915,1
R1,Commercial market-entry / win-rate,14,win_rate_gap,0.4,0.5473,0.6894,1
R1,Commercial market-entry / win-rate,15,win_rate_gap,0.4,0.7003,0.5315,0
R1,Commercial market-entry / win-rate,16,win_rate_gap,0.4,0.6276,0.6025,1
R1,Commercial market-entry / win-rate,17,win_rate_gap,0.4,0.4672,0.5518,1
R1,Commercial market-entry / win-rate,18,win_rate_gap,0.4,0.6418,0.5517,1
R1,Commercial market-entry / win-rate,19,win_rate_gap,0.4,0.883,0.6865,1
R1,Commercial market-entry / win-rate,20,win_rate_gap,0.4,0.6295,0.6528,1
R1,Commercial market-entry / win-rate,21,win_rate_gap,0.4,0.5667,0.5788,1
R1,Commercial market-entry / win-rate,22,win_rate_gap,0.4,0.5633,0.5527,1
R1,Commercial market-entry / win-rate,23,win_rate_gap,0.4,0.7422,0.6492,1
R1,Commercial market-entry / win-rate,24,win_rate_gap,0.4,0.415,0.5505,1
R1,Commercial market-entry / win-rate,25,win_rate_gap,0.4,0.6097,0.5783,1
R1,Commercial market-entry / win-rate,26,win_rate_gap,0.4,0.5525,0.6297,1
R1,Commercial market-entry / win-rate,27,win_rate_gap,0.4,0.8431,0.6793,1
R1,Commercial market-entry / win-rate,28,win_rate_gap,0.4,0.6123,0.674,1
R1,Commercial market-entry / win-rate,29,win_rate_gap,0.4,0.8173,0.4867,0
R1,Commercial market-entry / win-rate,30,win_rate_gap,0.4,0.5133,0.6503,1
R1,Commercial market-entry / win-rate,31,win_rate_gap,0.4,0.7853,0.6419,1
R1,Commercial market-entry / win-rate,32,win_rate_gap,0.4,0.6278,0.6001,1
R1,Commercial market-entry / win-rate,33,win_rate_gap,0.4,0.4918,0.6791,1
R1,Commercial market-entry / win-rate,34,win_rate_gap,0.4,0.5917,0.5104,0
R1,Commercial market-entry / win-rate,35,win_rate_gap,0.4,0.7774,0.6035,1
R1,Commercial market-entry / win-rate,36,win_rate_gap,0.4,0.6342,0.651,1
R1,Commercial market-entry / win-rate,37,win_rate_gap,0.4,0.4213,0.4913,0
R1,Commercial market-entry / win-rate,38,win_rate_gap,0.4,0.5689,0.6818,1
R1,Commercial market-entry / win-rate,39,win_rate_gap,0.4,0.4724,0.6297,1
R1,Commercial market-entry / win-rate,40,win_rate_gap,0.4,0.6081,0.6675,1
R1,Commercial market-entry / win-rate,41,win_rate_gap,0.4,0.6415,0.5979,1
R1,Commercial market-entry / win-rate,42,win_rate_gap,0.4,0.4528,0.6689,1
R1,Commercial market-entry / win-rate,43,win_rate_gap,0.4,0.4019,0.642,1
R1,Commercial market-entry / win-rate,44,win_rate_gap,0.4,0.6778,0.6258,1
R1,Commercial market-entry / win-rate,45,win_rate_gap,0.4,0.5615,0.6326,1
R1,Commercial market-entry / win-rate,46,win_rate_gap,0.4,0.342,0.6454,1
R1,Commercial market-entry / win-rate,47,win_rate_gap,0.4,0.7432,0.5926,1
R1,Commercial market-entry / win-rate,48,win_rate_gap,0.4,0.6543,0.6195,1
R1,Commercial market-entry / win-rate,49,win_rate_gap,0.4,0.5687,0.6046,1
R1,Commercial market-entry / win-rate,50,win_rate_gap,0.4,0.4716,0.6279,1
R1,Commercial market-entry / win-rate,51,win_rate_gap,0.4,0.7196,0.6737,1
R1,Commercial market-entry / win-rate,52,win_rate_gap,0.4,0.6833,0.5725,1
R1,Commercial market-entry / win-rate,53,win_rate_gap,0.4,0.802,0.5584,1
R1,Commercial market-entry / win-rate,54,win_rate_gap,0.4,0.6433,0.6708,1
R1,Commercial market-entry / win-rate,55,win_rate_gap,0.4,0.6321,0.5859,1
R1,Commercial market-entry / win-rate,56,win_rate_gap,0.4,0.5626,0.5404,0
R1,Commercial market-entry / win-rate,57,win_rate_gap,0.4,0.6891,0.633,1
R1,Commercial market-entry / win-rate,58,win_rate_gap,0.4,0.757,0.6797,1
R1,Commercial market-entry / win-rate,59,win_rate_gap,0.4,0.7073,0.6076,1
R1,Commercial market-entry / win-rate,60,win_rate_gap,0.4,0.6044,0.7161,1
R1,Commercial market-entry / win-rate,61,win_rate_gap,0.4,0.4806,0.6338,1
R1,Commercial market-entry / win-rate,62,win_rate_gap,0.4,0.5436,0.6812,1
R1,Commercial market-entry / win-rate,63,win_rate_gap,0.4,0.7083,0.6413,1
R1,Commercial market-entry / win-rate,64,win_rate_gap,0.4,0.8074,0.6848,1
R1,Commercial market-entry / win-rate,65,win_rate_gap,0.4,0.5984,0.6095,1
R1,Commercial market-entry / win-rate,66,win_rate_gap,0.4,0.6062,0.5273,0
R1,Commercial market-entry / win-rate,67,win_rate_gap,0.4,0.6301,0.6685,1
R1,Commercial market-entry / win-rate,68,win_rate_gap,0.4,0.5628,0.5745,1
R1,Commercial market-entry / win-rate,69,win_rate_gap,0.4,0.7609,0.6317,1
R1,Commercial market-entry / win-rate,70,win_rate_gap,0.4,0.3558,0.6942,1
R1,Commercial market-entry / win-rate,71,win_rate_gap,0.4,0.4581,0.5017,0
R1,Commercial market-entry / win-rate,72,win_rate_gap,0.4,0.4701,0.5333,0
R1,Commercial market-entry / win-rate,73,win_rate_gap,0.4,0.3117,0.4822,0
R1,Commercial market-entry / win-rate,74,win_rate_gap,0.4,0.5321,0.5688,1
R1,Commercial market-entry / win-rate,75,win_rate_gap,0.4,0.5196,0.6276,1
R1,Commercial market-entry / win-rate,76,win_rate_gap,0.4,0.6257,0.6477,1
R1,Commercial market-entry / win-rate,77,win_rate_gap,0.4,0.7141,0.6201,1
R1,Commercial market-entry / win-rate,78,win_rate_gap,0.4,0.5941,0.5501,1
R1,Commercial market-entry / win-rate,79,win_rate_gap,0.4,0.5311,0.4998,0
R1,Commercial market-entry / win-rate,80,win_rate_gap,0.4,0.5913,0.5931,1
R1,Commercial market-entry / win-rate,81,win_rate_gap,0.4,0.7515,0.5822,1
R1,Commercial market-entry / win-rate,82,win_rate_gap,0.4,0.4725,0.6298,1
R1,Commercial market-entry / win-rate,83,win_rate_gap,0.4,0.4947,0.6371,1
R1,Commercial market-entry / win-rate,84,win_rate_gap,0.4,0.6554,0.6132,1
R1,Commercial market-entry / win-rate,85,win_rate_gap,0.4,0.5286,0.6245,1
R1,Commercial market-entry / win-rate,86,win_rate_gap,0.4,0.7088,0.6548,1
R1,Commercial market-entry / win-rate,87,win_rate_gap,0.4,0.588,0.6139,1
R1,Commercial market-entry / win-rate,88,win_rate_gap,0.4,0.6909,0.5573,1
R1,Commercial market-entry / win-rate,89,win_rate_gap,0.4,0.5234,0.6268,1
R1,Commercial market-entry / win-rate,90,win_rate_gap,0.4,0.6342,0.6094,1
R1,Commercial market-entry / win-rate,91,win_rate_gap,0.4,0.6234,0.6475,1
R1,Commercial market-entry / win-rate,92,win_rate_gap,0.4,0.4744,0.5993,1
R1,Commercial market-entry / win-rate,93,win_rate_gap,0.4,0.4198,0.6614,1
R1,Commercial market-entry / win-rate,94,win_rate_gap,0.4,0.6845,0.5887,1
R1,Commercial market-entry / win-rate,95,win_rate_gap,0.4,0.4897,0.5696,1
R1,Commercial market-entry / win-rate,96,win_rate_gap,0.4,0.4279,0.6248,1
R1,Commercial market-entry / win-rate,97,win_rate_gap,0.4,0.536,0.5048,0
R1,Commercial market-entry / win-rate,98,win_rate_gap,0.4,0.6871,0.5202,0
R1,Commercial market-entry / win-rate,99,win_rate_gap,0.4,0.3823,0.5366,0
R1,Commercial market-entry / win-rate,100,win_rate_gap,0.4,0.403,0.4755,0
R1,Commercial market-entry / win-rate,101,win_rate_gap,0.4,0.4926,0.5786,1
R1,Commercial market-entry / win-rate,102,win_rate_gap,0.4,0.8391,0.678,1
R1,Commercial market-entry / win-rate,103,win_rate_gap,0.4,0.6263,0.5746,1
R1,Commercial market-entry / win-rate,104,win_rate_gap,0.4,0.7346,0.6242,1
R1,Commercial market-entry / win-rate,105,win_rate_gap,0.4,0.4408,0.6537,1
R1,Commercial market-entry / win-rate,106,win_rate_gap,0.4,0.4796,0.6693,1
R1,Commercial market-entry / win-rate,107,win_rate_gap,0.4,0.6146,0.5945,1
R1,Commercial market-entry / win-rate,108,win_rate_gap,0.4,0.6025,0.6595,1
R1,Commercial market-entry / win-rate,109,win_rate_gap,0.4,0.7157,0.6532,1
R1,Commercial market-entry / win-rate,110,win_rate_gap,0.4,0.5056,0.5556,1
R1,Commercial market-entry / win-rate,111,win_rate_gap,0.4,0.6655,0.5886,1
R1,Commercial market-entry / win-rate,112,win_rate_gap,0.4,0.6424,0.5447,0
R1,Commercial market-entry / win-rate,113,win_rate_gap,0.4,0.6688,0.5293,0
R1,Commercial market-entry / win-rate,114,win_rate_gap,0.4,0.6292,0.553,1
R1,Commercial market-entry / win-rate,115,win_rate_gap,0.4,0.4385,0.648,1
R1,Commercial market-entry / win-rate,116,win_rate_gap,0.4,0.3393,0.6712,1
R1,Commercial market-entry / win-rate,117,win_rate_gap,0.4,0.735,0.549,0
R1,Commercial market-entry / win-rate,118,win_rate_gap,0.4,0.7448,0.676,1
R1,Commercial market-entry / win-rate,119,win_rate_gap,0.4,0.5813,0.5928,1
R1,Commercial market-entry / win-rate,120,win_rate_gap,0.4,0.3965,0.6295,1
R1,Commercial market-entry / win-rate,121,win_rate_gap,0.4,0.5726,0.5801,1
